Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","818","Egypt","012","Algeria","5610","Import Quantity","0111","Wheat","2002","2002","tonnes","935","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","012","Algeria","5610","Import Quantity","0111","Wheat","2005","2005","tonnes","10600","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","012","Algeria","5610","Import Quantity","0111","Wheat","2006","2006","tonnes","35144","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","012","Algeria","5622","Import Value","0111","Wheat","2002","2002","1000 US$","125","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","012","Algeria","5622","Import Value","0111","Wheat","2005","2005","1000 US$","1720","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","012","Algeria","5622","Import Value","0111","Wheat","2006","2006","1000 US$","5467","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","01312","Bananas","2006","2006","tonnes","30","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5622","Import Value","01312","Bananas","2006","2006","1000 US$","15","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1986","1986","tonnes","62999","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1988","1988","tonnes","231092","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1990","1990","tonnes","15000","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1991","1991","tonnes","136940","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1992","1992","tonnes","258530","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1993","1993","tonnes","40855","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1994","1994","tonnes","90918","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1995","1995","tonnes","136188","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1996","1996","tonnes","290692","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1998","1998","tonnes","933187","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1999","1999","tonnes","76512","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2000","2000","tonnes","513620","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2001","2001","tonnes","649369","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2002","2002","tonnes","443533","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2003","2003","tonnes","702273","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2004","2004","tonnes","236727","A","Official figure"
