Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","004","Afghanistan","5610","Import Quantity","0112","Maize (corn)","1998","1998","tonnes","9","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","004","Afghanistan","5610","Import Quantity","0112","Maize (corn)","2003","2003","tonnes","0","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","004","Afghanistan","5622","Import Value","0112","Maize (corn)","1998","1998","1000 US$","3","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","004","Afghanistan","5622","Import Value","0112","Maize (corn)","2003","2003","1000 US$","0","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","004","Afghanistan","5610","Import Quantity","01316","Mangoes, guavas and mangosteens","2000","2000","tonnes","4","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","004","Afghanistan","5622","Import Value","01316","Mangoes, guavas and mangosteens","2000","2000","1000 US$","4","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","004","Afghanistan","5610","Import Quantity","21429.02","Walnuts, shelled","1998","1998","tonnes","1","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","004","Afghanistan","5610","Import Quantity","21429.02","Walnuts, shelled","2001","2001","tonnes","12","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","004","Afghanistan","5622","Import Value","21429.02","Walnuts, shelled","1998","1998","1000 US$","2","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","004","Afghanistan","5622","Import Value","21429.02","Walnuts, shelled","2001","2001","1000 US$","21","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","012","Algeria","5610","Import Quantity","01316","Mangoes, guavas and mangosteens","2000","2000","tonnes","1","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","012","Algeria","5622","Import Value","01316","Mangoes, guavas and mangosteens","2000","2000","1000 US$","0","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1986","1986","tonnes","49500","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1988","1988","tonnes","137719","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1989","1989","tonnes","15833","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","1998","1998","tonnes","253650","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2000","2000","tonnes","201880","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2001","2001","tonnes","241593","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2002","2002","tonnes","437727","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2003","2003","tonnes","690825","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2004","2004","tonnes","452300","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2005","2005","tonnes","1063828","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2006","2006","tonnes","800231","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2007","2007","tonnes","954655","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2009","2009","tonnes","316781","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2010","2010","tonnes","432199","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2011","2011","tonnes","690908","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2012","2012","tonnes","649827","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2013","2013","tonnes","904998","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2014","2014","tonnes","828675","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2015","2015","tonnes","776908","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2016","2016","tonnes","921733","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2017","2017","tonnes","1339750","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2018","2018","tonnes","1097933","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2019","2019","tonnes","1837587","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2020","2020","tonnes","1463515","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","1986","1986","1000 US$","5668","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","1988","1988","1000 US$","5134","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","1989","1989","1000 US$","2593","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","1998","1998","1000 US$","37723","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2000","2000","1000 US$","28386","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2001","2001","1000 US$","40707","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2002","2002","1000 US$","53045","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2003","2003","1000 US$","98808","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2004","2004","1000 US$","81175","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2005","2005","1000 US$","159951","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2006","2006","1000 US$","124083","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2007","2007","1000 US$","234427","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2009","2009","1000 US$","70898","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2010","2010","1000 US$","106276","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2011","2011","1000 US$","252669","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2012","2012","1000 US$","213046","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2013","2013","1000 US$","297042","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2014","2014","1000 US$","222835","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2015","2015","1000 US$","174896","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2016","2016","1000 US$","193196","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5622","Import Value","0112","Maize (corn)","2017","2017","1000 US$","261114","A","Official figure"
